Data_Referencia,COGNOM,Valor,ORDRE_COGNOM
2025-01-01,GARCIA,31418,2
2025-01-01,GARCIA,30644,1
2025-01-01,MARTINEZ,22174,2
2025-01-01,LOPEZ,22074,2
2025-01-01,MARTINEZ,21752,1
2025-01-01,LOPEZ,21165,1
2025-01-01,RODRIGUEZ,20256,2
2025-01-01,RODRIGUEZ,19412,1
2025-01-01,PEREZ,18928,2
2025-01-01,GONZALEZ,18831,2
2025-01-01,GONZALEZ,18270,1
2025-01-01,FERNANDEZ,17868,2
2025-01-01,PEREZ,17815,1
2025-01-01,SANCHEZ,17528,2
2025-01-01,FERNANDEZ,17364,1
2025-01-01,SANCHEZ,16775,1
2025-01-01,GOMEZ,11189,2
2025-01-01,GOMEZ,10842,1
2025-01-01,HERNANDEZ,8802,2
2025-01-01,HERNANDEZ,8471,1
2025-01-01,RUIZ,8355,2
2025-01-01,RUIZ,8121,1
2025-01-01,MARTIN,8092,2
2025-01-01,MARTIN,8035,1
2025-01-01,DIAZ,7520,1
2025-01-01,DIAZ,7450,2
2025-01-01,MORENO,6585,2
2025-01-01,ALVAREZ,6489,2
2025-01-01,JIMENEZ,6472,1
2025-01-01,MORENO,6436,1
2025-01-01,MUÑOZ,6385,2
2025-01-01,MUÑOZ,6327,1
2025-01-01,JIMENEZ,6321,2
2025-01-01,ALVAREZ,6124,1
2025-01-01,TORRES,5261,1
2025-01-01,TORRES,5227,2
2025-01-01,NAVARRO,5165,2
2025-01-01,ROMERO,5058,2
2025-01-01,ROMERO,5016,1
2025-01-01,NAVARRO,4986,1
2025-01-01,GUTIERREZ,4498,2
2025-01-01,RAMIREZ,4438,1
2025-01-01,GUTIERREZ,4421,1
2025-01-01,RAMIREZ,4348,2
2025-01-01,GIL,3800,1
2025-01-01,GIL,3782,2
2025-01-01,ALONSO,3692,1
2025-01-01,ALONSO,3546,2
2025-01-01,RAMOS,3533,1
2025-01-01,RAMOS,3457,2
2025-01-01,CASTRO,3363,1
2025-01-01,CASTRO,3351,2
2025-01-01,FERRER,3348,1
2025-01-01,FLORES,3295,2
2025-01-01,MOLINA,3269,2
2025-01-01,FERRER,3243,2
2025-01-01,FLORES,3239,1
2025-01-01,VIDAL,3234,2
2025-01-01,MOLINA,3203,1
2025-01-01,VIDAL,3202,1
2025-01-01,SERRANO,3200,1
2025-01-01,ORTIZ,3160,2
2025-01-01,SERRANO,3138,2
2025-01-01,CASTILLO,3135,1
2025-01-01,CASTILLO,3128,2
2025-01-01,GIMENEZ,3074,2
2025-01-01,ORTIZ,3038,1
2025-01-01,MORALES,3024,1
2025-01-01,MORALES,3018,2
2025-01-01,DOMINGUEZ,3007,2
2025-01-01,MARIN,2948,1
2025-01-01,MARTI,2914,1
2025-01-01,GIMENEZ,2886,1
2025-01-01,DOMINGUEZ,2883,1
2025-01-01,VAZQUEZ,2866,1
2025-01-01,MARIN,2864,2
2025-01-01,VAZQUEZ,2854,2
2025-01-01,MEDINA,2734,2
2025-01-01,ORTEGA,2710,2
2025-01-01,SOLER,2707,1
